"sr_number","sr_type","sr_short_code","created_department","owner_department","status","origin","created_date","last_modified_date","closed_date","street_address","city","state","zip_code","street_number","street_direction","street_name","street_type","duplicate","legacy_record","legacy_sr_number","parent_sr_number","community_area","ward","electrical_district","electricity_grid","police_sector","police_district","police_beat","precinct","sanitation_division_days","created_hour","created_day_of_week","created_month","x_coordinate","y_coordinate","latitude","longitude","location"
"SR26-01532277","Vicious Animal Complaint","EAF","311 City Services","Animal Care and Control","Open","Phone Call","2026-08-01T12:33:20.000","2026-08-01T12:33:23.000",,"1508 W 47TH ST","Chicago","Illinois","60609","1508","W","47TH","ST","false","false",,,"61","15","9","M032","2","09","0924","4",,"12","7","8","1167030.2330363763","1873839.656361707","41.80938300094","-87.662889000002","
,  
(41.80938300094, -87.662889000002)"
"SR26-01532276","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:33:05.000","2026-08-01T13:31:55.000","2026-08-01T12:33:05.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532274","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:32:54.000","2026-08-01T13:31:55.000","2026-08-01T12:32:54.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532273","Pothole in Street Complaint","PHF",,"CDOT - Department of Transportation","Open","Mobile Device","2026-08-01T12:32:46.000","2026-08-01T12:32:47.000",,"120 E RANDOLPH ST",,,,"120","E","RANDOLPH","ST","false","false",,,"32","34","7","Q022","1","01","0114","20",,"12","7","8","1177373.1117794705","1901302.3763749467","41.88451500094","-87.624121500002","
,  
(41.88451500094, -87.624121500002)"
"SR26-01532272","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:32:41.000","2026-08-01T13:31:55.000","2026-08-01T12:32:41.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532271","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T12:32:33.000","2026-08-01T14:10:28.000",,"1601 S ALLPORT ST",,,,"1601","S","ALLPORT","ST","false","false",,,"31","25","7","M026","3","12","1233","13",,"12","7","8","1168370.6046683611","1892161.0929337407","41.85963000094","-87.657444000002","
,  
(41.85963000094, -87.657444000002)"
"SR26-01532270","Abandoned Vehicle Complaint","SKA",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:32:24.000","2026-08-01T12:32:30.000",,"1047 N LAWLER AVE",,,,"1047","N","LAWLER","AVE","false","false",,,"25","37","6","D020","3","15","1531","20",,"12","7","8","1142566.0719106994","1906685.0765706825","41.90000400094","-87.751804500002","
,  
(41.90000400094, -87.751804500002)"
"SR26-01532269","Finance Parking Code Enforcement Review","FPCE",,"Finance","Completed","Mobile Device","2026-08-01T12:32:18.000","2026-08-01T12:32:20.000","2026-08-01T12:32:19.000","1540 W EDGEWATER AVE",,,,"1540","W","EDGEWATER","AVE","false","false",,,"77","48","2","M008","1","20","2013","28",,"12","7","8","1164884.121814749","1938356.2721085884","41.986467000941","-87.668928000002","
,  
(41.986467000941, -87.668928000002)"
"SR26-01532268","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:32:00.000","2026-08-01T13:32:12.000","2026-08-01T12:32:00.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532267","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:31:26.000","2026-08-01T13:31:38.000","2026-08-01T12:31:27.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532266","Building Violation","BBA",,"DOB - Buildings","Open","Internet","2026-08-01T12:31:25.000","2026-08-01T12:39:37.000",,"5446 S DORCHESTER AVE","Chicago","Illinois","60615","5446","S","DORCHESTER","AVE","false","false",,,"41","5","12","T034","3","02","0234","22",,"12","7","8","1186408.4873773123","1869357.9326466508","41.79664800094","-87.591955500002","
,  
(41.79664800094, -87.591955500002)"
"SR26-01532265","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:31:15.000","2026-08-01T13:31:55.000","2026-08-01T12:31:16.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532264","Graffiti Removal Request","GRAF",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:30:58.000","2026-08-01T12:31:02.000",,"2825 S STEWART AVE",,,,"2825","S","STEWART","AVE","false","false",,,"34","11","9","P028","1","09","0914","8",,"12","7","8","1174158.4590858337","1885696.159136781","41.841762730395","-87.636391240048","
,  
(41.841762730395, -87.636391240048)"
"SR26-01532263","Garbage Cart Maintenance","SIE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:30:56.000","2026-08-01T12:30:59.000",,"1004 N KEDVALE AVE",,,,"1004","N","KEDVALE","AVE","false","false",,,"23","37","6","F020","1","11","1111","7",,"12","7","8","1148458.3656479532","1906424.022772963","41.899176000941","-87.730168500002","
,  
(41.899176000941, -87.730168500002)"
"SR26-01532262","Weed Removal Request","SCP",,"Streets and Sanitation","Open","Internet","2026-08-01T12:30:52.000","2026-08-01T12:30:57.000",,"2203 N TALMAN AVE","Chicago","Illinois","60647","2203","N","TALMAN","AVE","false","false",,,"22","1","5","J017","3","14","1431","5",,"12","7","8","1158394.4812544102","1914790.5752765685","41.921937000941","-87.693444000002","
,  
(41.921937000941, -87.693444000002)"
"SR26-01532261","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:30:47.000","2026-08-01T13:31:55.000","2026-08-01T12:30:47.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532260","Sewer Cleaning Inspection Request","CHECKFOR","311 City Services","DWM - Department of Water Management","Open","Phone Call","2026-08-01T12:30:39.000","2026-08-01T13:50:31.000",,"2650 N MARMORA AVE","Chicago","Illinois","60639","2650","N","MARMORA","AVE","false","false",,,"19","30","3","B016","1","25","2514","11",,"12","7","8","1136535.8125812544","1917225.425417682","41.929038000941","-87.773701500002","
,  
(41.929038000941, -87.773701500002)"
"SR26-01532259","Blue Recycling Cart","SRRC",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:30:39.000","2026-08-01T12:30:42.000",,"1614 W CARMEN AVE",,,,"1614","W","CARMEN","AVE","false","false",,,"3","40","2","L010","3","20","2032","21",,"12","7","8","1164552.0325372755","1933998.067085501","41.974515000941","-87.670273500002","
,  
(41.974515000941, -87.670273500002)"
"SR26-01532258","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:30:32.000","2026-08-01T13:32:12.000","2026-08-01T12:30:32.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532257","Traffic Signal Out Complaint","SFB",,"CDOT - Department of Transportation","Open","Mobile Device","2026-08-01T12:30:27.000","2026-08-01T12:30:27.000",,"1572 N DAMEN AVE",,,,"1572","N","DAMEN","AVE","true","false",,"SR26-01531257","24","1","5","K019","2","14","1424","14",,"12","7","8","1162718.0067244414","1910595.574304564","41.910336000941","-87.677676000002","
,  
(41.910336000941, -87.677676000002)"
"SR26-01532256","Tree Emergency","SEC","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T12:30:26.000","2026-08-01T12:30:27.000",,"5738 S SANGAMON ST","Chicago","Illinois","60621","5738","S","SANGAMON","ST","false","false",,,"68","16","11","N035","1","07","0712","1",,"12","7","8","1170883.8457494199","1866602.102549749","41.78943900094","-87.648966000002","
,  
(41.78943900094, -87.648966000002)"
"SR26-01532255","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:30:12.000","2026-08-01T13:31:55.000","2026-08-01T12:30:12.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532254","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:30:08.000","2026-08-01T13:31:55.000","2026-08-01T12:30:08.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532253","Shared Housing/Vacation Rental Complaint","SHVR",,"BACP - Business Affairs and Consumer Protection","Open","Internet","2026-08-01T12:29:56.000","2026-08-01T12:29:58.000",,"4629 W ERIE ST","Chicago","Illinois","60644","4629","W","ERIE","ST","false","false",,,"25","28","6","E021","1","11","1111","3",,"12","7","8","1145191.5140066354","1903843.0793094297","41.89215600094","-87.742233000002","
,  
(41.89215600094, -87.742233000002)"
"SR26-01532252","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Internet","2026-08-01T12:29:45.000","2026-08-01T13:51:49.000",,"6500 N TALMAN AVE","Chicago","Illinois","60645","6500","N","TALMAN","AVE","false","false",,,"2","50","2","J006","1","24","2412","13",,"12","7","8","1157388.0864670922","1943084.6038556944","41.999598000941","-87.696369000002","
,  
(41.999598000941, -87.696369000002)"
"SR26-01532251","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:29:27.000","2026-08-01T12:32:36.000","2026-08-01T12:29:28.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532250","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Internet","2026-08-01T12:28:53.000","2026-08-01T12:33:59.000",,"621 E 91ST ST","Chicago","Illinois","60619","621","E","91ST","ST","false","false",,,"44","8","14","R044","3","06","0633","26",,"12","7","8","1182066.9741703197","1844756.095672623","41.729239689168","-87.608636122137","
,  
(41.729239689168, -87.608636122137)"
"SR26-01532249","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:28:49.000","2026-08-01T12:32:41.000","2026-08-01T12:28:49.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532248","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:28:34.000","2026-08-01T12:31:57.000","2026-08-01T12:28:35.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532247","Tree Removal Inspection","SEE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:28:21.000","2026-08-01T12:28:23.000",,"5901 W WAVELAND AVE",,,,"5901","W","WAVELAND","AVE","false","false",,,"15","38","3","B013","3","16","1633","22",,"12","7","8","1136312.1414148354","1923921.2258467898","41.947416000941","-87.774363000002","
,  
(41.947416000941, -87.774363000002)"
"SR26-01532246","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:28:04.000","2026-08-01T12:32:36.000","2026-08-01T12:28:04.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532243","Graffiti Removal Request","GRAF",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:27:37.000","2026-08-01T12:27:40.000",,"410 W 29TH ST",,,,"410","W","29TH","ST","false","false",,,"60","11","9","O028","1","09","0914","3",,"12","7","8","1173964.7238864645","1885734.7362439665","41.841872900883","-87.637101033663","
,  
(41.841872900883, -87.637101033663)"
"SR26-01532242","Recycling Pick Up","SRRP",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:27:30.000","2026-08-01T12:27:30.000",,"3548 N JANSSEN AVE",,,,"3548","N","JANSSEN","AVE","true","false",,"SR26-01528015","6","44","4","M014","2","19","1922","16",,"12","7","8","1165983.1274100756","1923873.485707935","41.946702221718","-87.665301206292","
,  
(41.946702221718, -87.665301206292)"
"SR26-01532241","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:27:21.000","2026-08-01T12:32:41.000","2026-08-01T12:27:21.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532240","Water in Basement Complaint","AAF",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T12:27:11.000","2026-08-01T13:58:36.000",,"4550 N KASSON AVE",,,,"4550","N","KASSON","AVE","false","false",,,"14","39","1","F011","2","17","1722","26",,"12","7","8","1147574.976551368","1930045.3274860752","41.964012000941","-87.732805500002","
,  
(41.964012000941, -87.732805500002)"
"SR26-01532239","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T12:26:55.000","2026-08-01T12:32:18.000","2026-08-01T12:26:56.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,"28","28","7","K024","2","12","1225","12",,"12","7","8","1162234.4668753312","1896560.9616219066","41.87183400094","-87.679845000002","
,  
(41.87183400094, -87.679845000002)"
"SR26-01532238","Water On Street Complaint","AAE","311 City Services","DWM - Department of Water Management","Open","Phone Call","2026-08-01T12:26:48.000","2026-08-01T12:41:59.000",,"5738 S SANGAMON ST","Chicago","Illinois","60621","5738","S","SANGAMON","ST","false","false",,,"68","16","11","N035","1","07","0712","1",,"12","7","8","1170883.8457494199","1866602.102549749","41.78943900094","-87.648966000002","
,  
(41.78943900094, -87.648966000002)"
"SR26-01532237","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:26:43.000","2026-08-01T12:31:39.000","2026-08-01T12:26:43.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532236","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:25:59.000","2026-08-01T12:31:57.000","2026-08-01T12:26:00.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532235","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:25:42.000","2026-08-01T12:32:41.000","2026-08-01T12:25:42.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532234","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:25:24.000","2026-08-01T12:32:36.000","2026-08-01T12:25:24.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532233","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T12:25:06.000","2026-08-01T12:32:18.000","2026-08-01T12:25:06.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,"28","28","7","K024","2","12","1225","12",,"12","7","8","1162234.4668753312","1896560.9616219066","41.87183400094","-87.679845000002","
,  
(41.87183400094, -87.679845000002)"
"SR26-01532232","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Internet","2026-08-01T12:25:00.000","2026-08-01T12:40:28.000",,"5448 S DORCHESTER AVE","Chicago","Illinois","60615","5448","S","DORCHESTER","AVE","false","false",,,"41","5","12","T034","3","02","0234","22",,"12","7","8","1186402.6066525823","1869328.363797738","41.79656700094","-87.591978000002","
,  
(41.79656700094, -87.591978000002)"
"SR26-01532231","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:24:50.000","2026-08-01T12:32:41.000","2026-08-01T12:24:50.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532230","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:24:42.000","2026-08-01T12:31:57.000","2026-08-01T12:24:42.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532229","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T12:24:36.000","2026-08-01T12:32:18.000","2026-08-01T12:24:36.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,"51","7","15","W045","3","04","0431","25",,"12","7","8","1195000.0790913322","1840879.7234105174","41.71829400094","-87.561387000002","
,  
(41.71829400094, -87.561387000002)"
"SR26-01532228","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:24:09.000","2026-08-01T12:32:41.000","2026-08-01T12:24:09.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532226","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:23:28.000","2026-08-01T12:32:36.000","2026-08-01T12:23:28.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532225","Sign Repair Request - Stop Sign","PCB",,"CDOT - Department of Transportation","Open","Mobile Device","2026-08-01T12:23:11.000","2026-08-01T12:23:15.000",,"450 W 28TH ST",,,,"450","W","28TH","ST","false","false",,,"60","11","9","O028","1","09","0914","3",,"12","7","8","1173546.3501622402","1886388.5430159015","41.843676296639","-87.638616916332","
,  
(41.843676296639, -87.638616916332)"
"SR26-01532224","Traffic Signal Out Complaint","SFB","CDOT - Department of Transportation","CDOT - Department of Transportation","Open","Phone Call","2026-08-01T12:23:03.000","2026-08-01T12:23:08.000",,"209 W JACKSON BLVD","Chicago","Illinois",,"209","W","JACKSON","BLVD","false","false",,,"32","42","7","P023","2","01","0122","15",,"12","7","8","1174774.3002041331","1898952.9271885308","41.878126509125","-87.63373491244","
,  
(41.878126509125, -87.63373491244)"
"SR26-01532223","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:22:55.000","2026-08-01T12:32:36.000","2026-08-01T12:22:56.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532222","Traffic Signal Out Complaint","SFB",,"CDOT - Department of Transportation","Open","Internet","2026-08-01T12:22:49.000","2026-08-01T12:22:50.000",,"410 W DIVERSEY AVE","Chicago","Illinois","60614","410","W","DIVERSEY","AVE","true","false",,"SR26-01530386","6","44","4","O015","3","19","1934","8",,"12","7","8","1172949.4214637112","1919010.073696582","41.933205000941","-87.639840000002","
,  
(41.933205000941, -87.639840000002)"
"SR26-01532221","Fly Dumping Complaint","SDR","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T12:22:42.000","2026-08-01T12:22:44.000",,"2210 N KEYSTONE AVE","Chicago","Illinois","60639","2210","N","KEYSTONE","AVE","false","false",,,"20","35","3","F017","2","25","2525","2",,"12","7","8","1148944.4156793205","1914459.5909786392","41.921217000941","-87.728175000002","
,  
(41.921217000941, -87.728175000002)"
"SR26-01532220","Dead Animal Pick-Up Request","SGQ",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:22:23.000","2026-08-01T12:22:26.000",,"10022 S LUELLA AVE",,,,"10022","S","LUELLA","AVE","false","false",,,"51","7","15","V046","3","04","0431","29",,"12","7","8","1193074.546094333","1838832.3634966325","41.71272300094","-87.568506000002","
,  
(41.71272300094, -87.568506000002)"
"SR26-01532219","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:22:18.000","2026-08-01T12:32:41.000","2026-08-01T12:22:18.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532218","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:22:02.000","2026-08-01T12:32:41.000","2026-08-01T12:22:02.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532217","Tree Emergency","SEC",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T12:21:42.000","2026-08-01T12:21:44.000",,"3307 W 38TH PL",,,,"3307","W","38TH","PL","false","false",,,"58","12","8","H030","1","09","0911","11",,"12","7","8","1154901.9270461276","1878808.795850746","41.82327000094","-87.707241000002","
,  
(41.82327000094, -87.707241000002)"
"SR26-01532216","Traffic Signal Out Complaint","SFB",,"CDOT - Department of Transportation","Open","Internet","2026-08-01T12:21:39.000","2026-08-01T12:21:40.000",,"1572 N DAMEN AVE","Chicago","Illinois",,"1572","N","DAMEN","AVE","true","false",,"SR26-01531257","24","32","5","K018","2","14","1424","27",,"12","7","8","1162740.5184974712","1910648.4418551936","41.910480601052","-87.677591815735","
,  
(41.910480601052, -87.677591815735)"
"SR26-01532215","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:21:38.000","2026-08-01T12:32:41.000","2026-08-01T12:21:38.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532214","Pothole in Street Complaint","PHF",,"CDOT - Department of Transportation","Open","Mobile Device","2026-08-01T12:21:20.000","2026-08-01T12:21:23.000",,"4018 S STATE ST",,,,"4018","S","STATE","ST","false","false",,,"38","3","9","P031","1","02","0213","24",,"12","7","8","1176922.7725021117","1878267.8285846205","41.821316793462","-87.626471486531","
,  
(41.821316793462, -87.626471486531)"
"SR26-01532213","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:20:54.000","2026-08-01T12:32:36.000","2026-08-01T12:20:55.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
"SR26-01532212","Tree Emergency","SEC","311 City Services","Streets and Sanitation","Open","Phone Call","2026-08-01T12:20:26.000","2026-08-01T12:20:28.000",,"5240 N OAKVIEW AVE","Chicago","Illinois","60656","5240","N","OAKVIEW","AVE","false","false",,,"76","41","1","U109","1","16","1614","1",,"12","7","8","1117225.1593074733","1933840.5403654787","41.974956000941","-87.844315500002","
,  
(41.974956000941, -87.844315500002)"
"SR26-01532211","Water On Street Complaint","AAE",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T12:20:26.000","2026-08-01T12:23:32.000",,"2418 W CORTLAND ST",,,,"2418","W","CORTLAND","ST","false","false",,,"22","1","5","J018","3","14","1434","10",,"12","7","8","1159850.9897226985","1912633.5441414365","41.915988000941","-87.688152000002","
,  
(41.915988000941, -87.688152000002)"
"SR26-01532210","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T12:20:15.000","2026-08-01T12:32:41.000","2026-08-01T12:20:15.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,"28","28","7","K024","2","12","1225","12",,"12","7","8","1162234.4668753312","1896560.9616219066","41.87183400094","-87.679845000002","
,  
(41.87183400094, -87.679845000002)"
"SR26-01532209","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T12:20:12.000","2026-08-01T12:32:36.000","2026-08-01T12:20:12.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,"76","41",,,"5","16","1654","1",,"12","7","8","1105376.7673561182","1941043.7883293368","41.994900000941","-87.887749500002","
,  
(41.994900000941, -87.887749500002)"
